Cruise	Station	Type	yyyy-mm-ddThh:mm:ss.sss	Longitude [degrees_east]	Latitude [degrees_north]	time_ISO8601	QF	latitude [degrees_north]	QF	longitude [degrees_east]	QF	mwd [Degree true]	QF	pp1d [s]	QF	swh [m]	QF	QV:ODV:SAMPLE
wave_2017-2020.nc	1	C	2017-01-01T00:00:00	112.00000	-6.50000	2017-01-01T00:00:00	1	-6.5	1	112	1	300.163	1	4.542	1	0.513	1	1
						2017-01-01T01:00:00	1	-6.5	1	112	1	299.976	1	4.536	1	0.504	1	1
						2017-01-01T02:00:00	1	-6.5	1	112	1	299.723	1	4.528	1	0.492	1	1
						2017-01-01T03:00:00	1	-6.5	1	112	1	300.119	1	4.515	1	0.477	1	1
						2017-01-01T04:00:00	1	-6.5	1	112	1	300.926	1	4.488	1	0.459	1	1
						2017-01-01T05:00:00	1	-6.5	1	112	1	301.854	1	4.46	1	0.442	1	1
						2017-01-01T06:00:00	1	-6.5	1	112	1	303.002	1	4.434	1	0.43	1	1
						2017-01-01T07:00:00	1	-6.5	1	112	1	304.233	1	4.41	1	0.422	1	1
						2017-01-01T08:00:00	1	-6.5	1	112	1	306.271	1	4.388	1	0.426	1	1
						2017-01-01T09:00:00	1	-6.5	1	112	1	306.578	1	4.363	1	0.424	1	1
						2017-01-01T10:00:00	1	-6.5	1	112	1	306.534	1	4.334	1	0.415	1	1
						2017-01-01T11:00:00	1	-6.5	1	112	1	305.161	1	4.305	1	0.413	1	1
						2017-01-01T12:00:00	1	-6.5	1	112	1	298.987	1	4.278	1	0.419	1	1
						2017-01-01T13:00:00	1	-6.5	1	112	1	290.226	1	4.251	1	0.433	1	1
						2017-01-01T14:00:00	1	-6.5	1	112	1	287.842	1	4.236	1	0.423	1	1
						2017-01-01T15:00:00	1	-6.5	1	112	1	289.671	1	4.221	1	0.402	1	1
						2017-01-01T16:00:00	1	-6.5	1	112	1	292.698	1	4.208	1	0.38	1	1
						2017-01-01T17:00:00	1	-6.5	1	112	1	294.467	1	4.195	1	0.363	1	1
						2017-01-01T18:00:00	1	-6.5	1	112	1	296.329	1	4.181	1	0.349	1	1
						2017-01-01T19:00:00	1	-6.5	1	112	1	298.185	1	4.168	1	0.343	1	1
						2017-01-01T20:00:00	1	-6.5	1	112	1	299.701	1	4.154	1	0.335	1	1
						2017-01-01T21:00:00	1	-6.5	1	112	1	298.548	1	4.138	1	0.337	1	1
						2017-01-01T22:00:00	1	-6.5	1	112	1	298.119	1	4.117	1	0.328	1	1
						2017-01-01T23:00:00	1	-6.5	1	112	1	295.076	1	4.246	1	0.362	1	1
						2017-01-02T00:00:00	1	-6.5	1	112	1	294.675	1	4.277	1	0.365	1	1
						2017-01-02T01:00:00	1	-6.5	1	112	1	294.89	1	4.311	1	0.368	1	1
						2017-01-02T02:00:00	1	-6.5	1	112	1	295.922	1	4.351	1	0.364	1	1
						2017-01-02T03:00:00	1	-6.5	1	112	1	297.394	1	4.392	1	0.358	1	1
						2017-01-02T04:00:00	1	-6.5	1	112	1	298.811	1	4.428	1	0.352	1	1
						2017-01-02T05:00:00	1	-6.5	1	112	1	300.146	1	4.454	1	0.345	1	1
						2017-01-02T06:00:00	1	-6.5	1	112	1	301.206	1	4.468	1	0.34	1	1
						2017-01-02T07:00:00	1	-6.5	1	112	1	302.431	1	4.471	1	0.336	1	1
						2017-01-02T08:00:00	1	-6.5	1	112	1	303.524	1	4.465	1	0.333	1	1
						2017-01-02T09:00:00	1	-6.5	1	112	1	303.09	1	4.454	1	0.327	1	1
						2017-01-02T10:00:00	1	-6.5	1	112	1	304.859	1	4.437	1	0.325	1	1
						2017-01-02T11:00:00	1	-6.5	1	112	1	303.788	1	4.421	1	0.321	1	1
						2017-01-02T12:00:00	1	-6.5	1	112	1	302.689	1	4.404	1	0.317	1	1
						2017-01-02T13:00:00	1	-6.5	1	112	1	301.981	1	4.388	1	0.313	1	1
						2017-01-02T14:00:00	1	-6.5	1	112	1	301.948	1	4.371	1	0.306	1	1
						2017-01-02T15:00:00	1	-6.5	1	112	1	301.92	1	4.357	1	0.3	1	1
						2017-01-02T16:00:00	1	-6.5	1	112	1	301.432	1	4.343	1	0.296	1	1
						2017-01-02T17:00:00	1	-6.5	1	112	1	299.822	1	4.331	1	0.295	1	1
						2017-01-02T18:00:00	1	-6.5	1	112	1	299.245	1	4.32	1	0.291	1	1
						2017-01-02T19:00:00	1	-6.5	1	112	1	298.438	1	4.31	1	0.288	1	1
						2017-01-02T20:00:00	1	-6.5	1	112	1	297.455	1	4.302	1	0.285	1	1
						2017-01-02T21:00:00	1	-6.5	1	112	1	297.284	1	4.294	1	0.28	1	1
						2017-01-02T22:00:00	1	-6.5	1	112	1	294.126	1	4.288	1	0.28	1	1
						2017-01-02T23:00:00	1	-6.5	1	112	1	293.604	1	4.284	1	0.28	1	1
						2017-01-03T00:00:00	1	-6.5	1	112	1	291.55	1	4.279	1	0.283	1	1
						2017-01-03T01:00:00	1	-6.5	1	112	1	290.671	1	4.275	1	0.283	1	1
						2017-01-03T02:00:00	1	-6.5	1	112	1	287.892	1	4.269	1	0.293	1	1
						2017-01-03T03:00:00	1	-6.5	1	112	1	285.557	1	4.261	1	0.316	1	1
						2017-01-03T04:00:00	1	-6.5	1	112	1	288.056	1	4.248	1	0.337	1	1
						2017-01-03T05:00:00	1	-6.5	1	112	1	294.434	1	2.716	1	0.363	1	1
						2017-01-03T06:00:00	1	-6.5	1	112	1	297.153	1	2.83	1	0.386	1	1
						2017-01-03T07:00:00	1	-6.5	1	112	1	295.807	1	3.072	1	0.399	1	1
						2017-01-03T08:00:00	1	-6.5	1	112	1	289.622	1	3.186	1	0.408	1	1
						2017-01-03T09:00:00	1	-6.5	1	112	1	288.968	1	3.535	1	0.389	1	1
						2017-01-03T10:00:00	1	-6.5	1	112	1	290.462	1	4.003	1	0.366	1	1
						2017-01-03T11:00:00	1	-6.5	1	112	1	291.912	1	4.126	1	0.351	1	1
						2017-01-03T12:00:00	1	-6.5	1	112	1	292.967	1	4.152	1	0.339	1	1
						2017-01-03T13:00:00	1	-6.5	1	112	1	294.131	1	4.174	1	0.328	1	1
						2017-01-03T14:00:00	1	-6.5	1	112	1	295.126	1	4.191	1	0.319	1	1
						2017-01-03T15:00:00	1	-6.5	1	112	1	295.17	1	4.204	1	0.317	1	1
						2017-01-03T16:00:00	1	-6.5	1	112	1	294.478	1	4.216	1	0.318	1	1
						2017-01-03T17:00:00	1	-6.5	1	112	1	292.357	1	4.224	1	0.322	1	1
						2017-01-03T18:00:00	1	-6.5	1	112	1	290.462	1	4.232	1	0.323	1	1
						2017-01-03T19:00:00	1	-6.5	1	112	1	289.622	1	4.238	1	0.318	1	1
						2017-01-03T20:00:00	1	-6.5	1	112	1	288.688	1	4.242	1	0.315	1	1
						2017-01-03T21:00:00	1	-6.5	1	112	1	283.047	1	4.244	1	0.329	1	1
						2017-01-03T22:00:00	1	-6.5	1	112	1	281.679	1	4.247	1	0.327	1	1
						2017-01-03T23:00:00	1	-6.5	1	112	1	282.547	1	4.245	1	0.33	1	1
						2017-01-04T00:00:00	1	-6.5	1	112	1	285.7	1	4.229	1	0.323	1	1
						2017-01-04T01:00:00	1	-6.5	1	112	1	288.825	1	4.209	1	0.317	1	1
						2017-01-04T02:00:00	1	-6.5	1	112	1	291.391	1	4.198	1	0.317	1	1
						2017-01-04T03:00:00	1	-6.5	1	112	1	292.972	1	4.198	1	0.323	1	1
						2017-01-04T04:00:00	1	-6.5	1	112	1	294.758	1	4.203	1	0.328	1	1
						2017-01-04T05:00:00	1	-6.5	1	112	1	297.911	1	4.207	1	0.342	1	1
						2017-01-04T06:00:00	1	-6.5	1	112	1	302.893	1	2.949	1	0.405	1	1
						2017-01-04T07:00:00	1	-6.5	1	112	1	302.343	1	3.242	1	0.503	1	1
						2017-01-04T08:00:00	1	-6.5	1	112	1	299.366	1	3.548	1	0.614	1	1
						2017-01-04T09:00:00	1	-6.5	1	112	1	296.609	1	3.753	1	0.709	1	1
						2017-01-04T10:00:00	1	-6.5	1	112	1	295.439	1	3.941	1	0.77	1	1
						2017-01-04T11:00:00	1	-6.5	1	112	1	294.071	1	4.086	1	0.819	1	1
						2017-01-04T12:00:00	1	-6.5	1	112	1	293.527	1	4.269	1	0.815	1	1
						2017-01-04T13:00:00	1	-6.5	1	112	1	294.033	1	4.334	1	0.778	1	1
						2017-01-04T14:00:00	1	-6.5	1	112	1	295.054	1	4.371	1	0.729	1	1
						2017-01-04T15:00:00	1	-6.5	1	112	1	295.713	1	4.389	1	0.693	1	1
						2017-01-04T16:00:00	1	-6.5	1	112	1	296.153	1	4.393	1	0.667	1	1
						2017-01-04T17:00:00	1	-6.5	1	112	1	295.983	1	4.388	1	0.649	1	1
						2017-01-04T18:00:00	1	-6.5	1	112	1	296.532	1	4.389	1	0.619	1	1
						2017-01-04T19:00:00	1	-6.5	1	112	1	297.603	1	4.395	1	0.585	1	1
						2017-01-04T20:00:00	1	-6.5	1	112	1	298.658	1	4.4	1	0.557	1	1
						2017-01-04T21:00:00	1	-6.5	1	112	1	298.894	1	4.539	1	0.575	1	1
						2017-01-04T22:00:00	1	-6.5	1	112	1	299.185	1	4.537	1	0.582	1	1
						2017-01-04T23:00:00	1	-6.5	1	112	1	300.712	1	4.553	1	0.565	1	1
						2017-01-05T00:00:00	1	-6.5	1	112	1	301.3	1	4.579	1	0.561	1	1
						2017-01-05T01:00:00	1	-6.5	1	112	1	300.525	1	4.584	1	0.58	1	1
						2017-01-05T02:00:00	1	-6.5	1	112	1	299.822	1	4.55	1	0.611	1	1
						2017-01-05T03:00:00	1	-6.5	1	112	1	300.564	1	4.458	1	0.642	1	1
						2017-01-05T04:00:00	1	-6.5	1	112	1	302.755	1	4.431	1	0.649	1	1
						2017-01-05T05:00:00	1	-6.5	1	112	1	304.634	1	4.486	1	0.642	1	1
						2017-01-05T06:00:00	1	-6.5	1	112	1	306.221	1	4.534	1	0.636	1	1
						2017-01-05T07:00:00	1	-6.5	1	112	1	307.622	1	4.535	1	0.654	1	1
						2017-01-05T08:00:00	1	-6.5	1	112	1	308.737	1	4.479	1	0.693	1	1
						2017-01-05T09:00:00	1	-6.5	1	112	1	307.617	1	4.517	1	0.702	1	1
						2017-01-05T10:00:00	1	-6.5	1	112	1	308.583	1	4.584	1	0.67	1	1
						2017-01-05T11:00:00	1	-6.5	1	112	1	309.177	1	4.64	1	0.653	1	1
						2017-01-05T12:00:00	1	-6.5	1	112	1	308.858	1	4.688	1	0.641	1	1
						2017-01-05T13:00:00	1	-6.5	1	112	1	308.534	1	4.73	1	0.63	1	1
						2017-01-05T14:00:00	1	-6.5	1	112	1	308.347	1	4.766	1	0.619	1	1
